split,game,side,team,fb,fbtime,fd,fdtime,ft,fttime,cspm,goldat10,goldat15,result
summer,3,Blue,Samsung Galaxy,1,2.257766667,1,18.43865,1,13.81308333,34.96688742,15.119,24.606,1
summer,3,Red,Jin Air Green Wings,0,2.257766667,0,18.43865,0,13.81308333,33.73699149,14.929,22.496,0
summer,1,Blue,Longzhu Gaming,1,6.2171,1,13.36918333,1,13.83395,29.97846375,15.954,24.338,1
summer,1,Red,Afreeca Freecs,0,6.2171,0,13.36918333,0,13.83395,31.85211773,14.873,23.544,0
summer,2,Blue,Afreeca Freecs,1,5.198816667,0,8.778933333,1,15.94068333,36.01593625,14.725,23.786,1
summer,2,Red,Longzhu Gaming,0,5.198816667,1,8.778933333,0,15.94068333,34.31606906,14.943,22.704,0
summer,3,Blue,Longzhu Gaming,0,6.089983333,0,20.77108333,1,16.64683333,28.91794409,14.135,21.679,1
summer,3,Red,Afreeca Freecs,1,6.089983333,1,20.77108333,0,16.64683333,30.67628494,14.174,22.182,0
summer,1,Blue,Ever8 Winners,1,4.690966667,1,11.79983333,1,8.97705,33.02663438,17.445,27.307,1
summer,1,Red,ROX Tigers,0,4.690966667,0,11.79983333,0,8.97705,34.09200969,14.56,23.666,0
summer,2,Blue,ROX Tigers,1,5.04575,0,9.1139,1,13.01096667,28.26963169,15.27,24.1,1
summer,2,Red,Ever8 Winners,0,5.04575,1,9.1139,0,13.01096667,29.60389159,13.867,21.772,0
summer,3,Blue,Ever8 Winners,0,8.120316667,1,14.77986667,1,8.739633333,29.76413328,14.937,23.315,0
summer,3,Red,ROX Tigers,1,8.120316667,0,14.77986667,0,8.739633333,31.42643205,14.019,23.6,1
summer,1,Blue,KT Rolster,1,3.408816667,1,13.53186667,1,9.0078,33.45769487,16.19,24.352,1
summer,1,Red,SK Telecom T1,0,3.408816667,0,13.53186667,0,9.0078,30.8194537,14.858,22.816,0
summer,2,Blue,SK Telecom T1,0,4.349483333,1,15.7511,0,9.5804,33.94618834,14.45,22.142,1
summer,2,Red,KT Rolster,1,4.349483333,0,15.7511,1,9.5804,29.59641256,15.694,24.359,0
summer,3,Blue,KT Rolster,1,5.729966667,0,12.6743,1,12.62095,32.62528048,15.484,24.852,0
summer,3,Red,SK Telecom T1,0,5.729966667,1,12.6743,0,12.62095,36.91099476,14.34,21.914,1
summer,1,Blue,Samsung Galaxy,0,6.065783333,0,9.871583333,0,13.46316667,34.92021277,14.483,22.387,0
summer,1,Red,Longzhu Gaming,1,6.065783333,1,9.871583333,1,13.46316667,34.54787234,16.014,25.583,1
summer,2,Blue,Longzhu Gaming,0,3.489216667,0,9.550566667,1,9.425716667,33.01764706,15.65,24.279,0
summer,2,Red,Samsung Galaxy,1,3.489216667,1,9.550566667,0,9.425716667,28.30588235,14.98,24.028,1
summer,3,Blue,Samsung Galaxy,1,2.81885,0,11.06301667,1,15.56161667,34.43396226,15.32,23.48,1
summer,3,Red,Longzhu Gaming,0,2.81885,1,11.06301667,0,15.56161667,30.78616352,14.735,22.048,0
summer,1,Blue,Jin Air Green Wings,1,9.146883333,0,17.1793,1,19.12533333,37.69491525,15.706,24.071,0
summer,1,Red,Afreeca Freecs,0,9.146883333,1,17.1793,0,19.12533333,35.36723164,14.011,21.964,1
summer,2,Blue,Afreeca Freecs,1,7.894066667,1,12.48121667,0,13.6508,34.80148883,14.522,22.358,1
summer,2,Red,Jin Air Green Wings,0,7.894066667,0,12.48121667,1,13.6508,33.68486352,14.422,23.522,0
summer,1,Blue,BBQ Olivers,1,3.598833333,0,17.1933,1,13.22431667,32.39190797,15.709,24.707,0
summer,1,Red,MVP,0,3.598833333,1,17.1933,0,13.22431667,34.10551369,15.474,23.747,1
